,MI_Score
F1906,0.0030645270493644405
F575,0.0030615956795292387
F1750,0.003053157873067369
F1529,0.0030505888556866534
F1974,0.0030436404826316155
F2785,0.003043331423623119
F1862,0.003041112645199573
F2339,0.003040273560027451
F3609,0.0030267759084239287
F2645,0.003024075175330654
F2585,0.0030224938970834225
F3072,0.003022395623875407
F62,0.0030035269277660648
F2345,0.0029810488966753868
F3006,0.002966490026091395
F1592,0.002961801835012934
F1934,0.002960174662165027
F2436,0.0029546017120454238
F1411,0.0029535676291077007
F2999,0.002942824282922585
F470,0.002931585887133381
F2185,0.002930267436810463
F730,0.002928766613794598
F3641,0.002924226830656851
F1535,0.002921869465905891
F2076,0.002917956055966453
F1176,0.0029112411781996306
F1532,0.002909098009550637
F638,0.0029035368598694378
F3524,0.0028949536001883214
F1751,0.002892656801614879
F1964,0.002888377596852121
F433,0.002885624941847964
F56,0.002883832198195102
F2183,0.0028799462231938744
F1391,0.0028788003311512878
F993,0.0028778256795618518
F3749,0.002875932163810768
F3098,0.002874086561231448
F2220,0.002873866052019114
F742,0.0028736011383295734
F2650,0.0028702531620969918
F2487,0.002867907632082445
F1133,0.0028669390374738146
F1164,0.0028577838669208155
F1714,0.0028542925027554844
F1322,0.0028533520123713574
F1865,0.002847312346964115
F1150,0.0028394824784282457
F3716,0.0028359175028651595
F1493,0.00283502623933396
F1510,0.0028227133016642814
F3750,0.0028049051703610273
F947,0.0027972846846358035
F2148,0.0027910786184669467
F1854,0.0027883589088180116
F2077,0.0027880684729001404
F997,0.0027871277943627426
F2889,0.002785914368926945
F1811,0.002778409833819606
F1140,0.0027763224130147313
F3109,0.0027741880275842234
F119,0.002773478376635441
F2644,0.0027696086638943074
F3002,0.0027695787938013527
F2854,0.002769477516745944
F3063,0.002768488580698225
F1585,0.002765996152615857
F3636,0.002765497852710519
F1602,0.00276516165266949
F2891,0.0027646924821219665
F3068,0.0027574316161013135
F225,0.0027508988141133894
F428,0.0027427091412759452
F1639,0.002729946538055139
F3648,0.00272855443633635
F2176,0.0027284989202117638
F2843,0.002727169943240404
F3916,0.0027262780967587386
F3802,0.002720838334059006
F3062,0.0027194645346829693
F2848,0.0027082947364155396
F1640,0.0027051629325591797
F1205,0.0027043483804143342
F274,0.002702238770446841
F2244,0.0026993158252618388
F2379,0.0026959859698025834
F1141,0.002686743847968631
F3645,0.002682712888227301
F946,0.002682430552948367
F1432,0.002682120205109939
F2449,0.0026795529708403265
F569,0.0026795521880540463
F112,0.002676408228446836
F1534,0.002676044808508582
F978,0.002667714358498219
F3104,0.002666842664709179
F2890,0.0026654346944636753
F3873,0.0026636672546007656
F1543,0.002662269677834561
F473,0.002659543748944171
F3113,0.0026574607234133296
F571,0.0026562061175591234
F2444,0.002656107818521769
F368,0.0026555373200030097
F3797,0.0026538414679208033
F3070,0.002651865052800906
F2438,0.0026481447475373843
F20,0.0026460489208045557
F2857,0.0026353632864550836
F1596,0.0026298770849806363
F1369,0.002623809338752059
F1641,0.0026219037408036217
F2163,0.0026192299703449162
F3526,0.0026191948154018485
F1055,0.002616860743383409
F2448,0.002615556179430656
F1606,0.002608097717892499
F3529,0.002600907520436513
F3057,0.002599728108212629
F1001,0.0025943991753730744
F3698,0.002573956541015221
F3896,0.002570553725684599
F367,0.0025663990889734922
F1930,0.0025625735888734624
F3540,0.0025619727495503897
F1329,0.0025591659539555556
F1199,0.0025550182844832348
F2894,0.002537501208520365
F1217,0.0025366090344085546
F268,0.0025344740666130017
F2221,0.0025302638308675185
F1540,0.0025236647574812254
F109,0.002522430671846654
F3537,0.002521658092035639
F2960,0.0025205214165510137
F2354,0.0025173091965731142
F3808,0.0025087911352532632
F1856,0.0025034546701231397
F2997,0.002499676816101304
F2893,0.00249949641684577
F3695,0.002498134572954225
F2125,0.002496027239323184
F2850,0.002493804868077265
F2061,0.002493610050601225
F1608,0.002493423759844182
F2072,0.0024857966067060033
F1109,0.002483182745650736
F3690,0.0024828695052574457
F1681,0.002480951422495936
F2535,0.0024722690422028792
F2844,0.0024718704745442244
F706,0.0024661668079956067
F3065,0.002454457395072329
F1498,0.0024352405043083225
F1111,0.00243327312641628
F2777,0.0024330120144138156
F3688,0.0024329665176946458
F1565,0.0024297911596237176
F3059,0.0024296806596781906
F2649,0.002427252143519909
F1106,0.0024220992919291584
F991,0.0024195483109183957
F3056,0.0024190923441603784
F2352,0.002418673779233882
F1097,0.0024160535298497487
F2187,0.0024160499252666723
F2340,0.0024124115697207182
F2218,0.002409528318357168
F1409,0.002405567699343414
F167,0.0024052732109350883
F1465,0.002404704465129859
F1189,0.002398713522292928
F1966,0.002396130794225959
F269,0.0023941387123576074
F1704,0.002393497813001577
F1868,0.0023918059558608595
F2851,0.0023904290996699107
F1512,0.0023843404105056143
F998,0.0023842523633593737
F3798,0.002381293601063539
F2856,0.0023797284157041076
F1427,0.0023775155480969534
F1218,0.0023762041871410178
F1709,0.0023759752843927062
